date,year,month,weekday,pref_code,pref_en,pref_ja,tmax_c,tmean_c,humidity_pct,transported,elderly,severe
2018-05-01,2018,5,Tue,1,Hokkaido,北海道,15.9,11.7,77,1,1,0
2018-05-01,2018,5,Tue,13,Tokyo,東京都,27.2,20.7,65,16,6,1
2018-05-01,2018,5,Tue,23,Aichi,愛知県,26.6,19.3,69,9,2,1
2018-05-01,2018,5,Tue,27,Osaka,大阪府,23.9,18.0,75,13,7,0
2018-05-01,2018,5,Tue,28,Hyogo,兵庫県,23.5,18.8,75,3,2,0
2018-05-01,2018,5,Tue,40,Fukuoka,福岡県,26.1,19.3,70,1,0,0
2018-05-01,2018,5,Tue,47,Okinawa,沖縄県,25.7,23.6,86,2,2,0
2018-05-02,2018,5,Wed,1,Hokkaido,北海道,17.4,11.8,68,0,0,0
2018-05-02,2018,5,Wed,13,Tokyo,東京都,25.6,20.0,69,0,0,0
2018-05-02,2018,5,Wed,23,Aichi,愛知県,22.1,18.6,80,0,0,0
2018-05-02,2018,5,Wed,27,Osaka,大阪府,23.0,18.8,82,0,0,0
2018-05-02,2018,5,Wed,28,Hyogo,兵庫県,20.1,18.6,89,1,0,0
2018-05-02,2018,5,Wed,40,Fukuoka,福岡県,21.1,19.4,89,0,0,0
2018-05-02,2018,5,Wed,47,Okinawa,沖縄県,26.5,24.5,89,5,2,0
2018-05-03,2018,5,Thu,1,Hokkaido,北海道,14.7,10.7,85,0,0,0
2018-05-03,2018,5,Thu,13,Tokyo,東京都,26.6,21.0,77,4,1,1
2018-05-03,2018,5,Thu,23,Aichi,愛知県,22.5,17.8,79,0,0,0
2018-05-03,2018,5,Thu,27,Osaka,大阪府,20.3,18.2,74,2,1,0
2018-05-03,2018,5,Thu,28,Hyogo,兵庫県,18.9,17.3,76,2,0,0
2018-05-03,2018,5,Thu,40,Fukuoka,福岡県,18.1,14.8,64,0,0,0
2018-05-03,2018,5,Thu,47,Okinawa,沖縄県,23.6,20.9,79,0,0,0
2018-05-04,2018,5,Fri,1,Hokkaido,北海道,15.2,9.9,72,0,0,0
2018-05-04,2018,5,Fri,13,Tokyo,東京都,22.0,16.4,65,1,1,0
2018-05-04,2018,5,Fri,23,Aichi,愛知県,18.8,14.0,61,2,0,0
2018-05-04,2018,5,Fri,27,Osaka,大阪府,17.5,15.1,60,0,0,0
2018-05-04,2018,5,Fri,28,Hyogo,兵庫県,16.8,14.4,61,0,0,0
2018-05-04,2018,5,Fri,40,Fukuoka,福岡県,17.9,14.3,55,1,1,0
2018-05-04,2018,5,Fri,47,Okinawa,沖縄県,23.6,21.2,54,2,1,0
2018-05-05,2018,5,Sat,1,Hokkaido,北海道,11.6,8.6,75,1,0,0
2018-05-05,2018,5,Sat,13,Tokyo,東京都,22.8,16.9,62,5,0,0
2018-05-05,2018,5,Sat,23,Aichi,愛知県,22.8,16.6,60,3,3,0
2018-05-05,2018,5,Sat,27,Osaka,大阪府,20.2,16.6,62,4,2,0
2018-05-05,2018,5,Sat,28,Hyogo,兵庫県,19.5,16.2,65,3,1,0
2018-05-05,2018,5,Sat,40,Fukuoka,福岡県,23.0,16.4,63,2,0,0
2018-05-05,2018,5,Sat,47,Okinawa,沖縄県,23.5,21.7,60,0,0,0
2018-05-06,2018,5,Sun,1,Hokkaido,北海道,10.8,7.8,85,0,0,0
2018-05-06,2018,5,Sun,13,Tokyo,東京都,25.4,19.1,63,3,1,0
2018-05-06,2018,5,Sun,23,Aichi,愛知県,24.2,17.4,66,4,2,0
2018-05-06,2018,5,Sun,27,Osaka,大阪府,23.7,17.3,71,3,2,0
2018-05-06,2018,5,Sun,28,Hyogo,兵庫県,20.5,18.1,70,0,0,0
2018-05-06,2018,5,Sun,40,Fukuoka,福岡県,18.9,16.6,82,0,0,0
2018-05-06,2018,5,Sun,47,Okinawa,沖縄県,25.3,23.4,74,0,0,0
2018-05-07,2018,5,Mon,1,Hokkaido,北海道,13.3,9.4,78,0,0,0
2018-05-07,2018,5,Mon,13,Tokyo,東京都,22.2,18.2,77,0,0,0
2018-05-07,2018,5,Mon,23,Aichi,愛知県,19.4,17.5,94,0,0,0
2018-05-07,2018,5,Mon,27,Osaka,大阪府,21.0,18.5,90,0,0,0
2018-05-07,2018,5,Mon,28,Hyogo,兵庫県,19.8,18.1,97,0,0,0
2018-05-07,2018,5,Mon,40,Fukuoka,福岡県,20.8,17.6,96,0,0,0
2018-05-07,2018,5,Mon,47,Okinawa,沖縄県,26.5,24.5,87,2,0,0
2018-05-08,2018,5,Tue,1,Hokkaido,北海道,12.2,8.3,79,0,0,0
2018-05-08,2018,5,Tue,13,Tokyo,東京都,14.8,13.2,83,0,0,0
2018-05-08,2018,5,Tue,23,Aichi,愛知県,20.6,17.1,86,0,0,0
2018-05-08,2018,5,Tue,27,Osaka,大阪府,20.2,16.9,79,1,0,0
2018-05-08,2018,5,Tue,28,Hyogo,兵庫県,18.2,15.7,85,0,0,0
2018-05-08,2018,5,Tue,40,Fukuoka,福岡県,15.9,14.8,90,0,0,0
2018-05-08,2018,5,Tue,47,Okinawa,沖縄県,26.4,24.4,91,1,1,0
2018-05-09,2018,5,Wed,1,Hokkaido,北海道,11.0,7.7,74,0,0,0
2018-05-09,2018,5,Wed,13,Tokyo,東京都,13.7,11.9,86,0,0,0
2018-05-09,2018,5,Wed,23,Aichi,愛知県,21.8,15.9,74,0,0,0
2018-05-09,2018,5,Wed,27,Osaka,大阪府,19.9,15.9,71,0,0,0
2018-05-09,2018,5,Wed,28,Hyogo,兵庫県,18.9,14.9,76,1,0,0
2018-05-09,2018,5,Wed,40,Fukuoka,福岡県,15.6,13.6,77,0,0,0
2018-05-09,2018,5,Wed,47,Okinawa,沖縄県,25.1,23.3,78,1,1,0
2018-05-10,2018,5,Thu,1,Hokkaido,北海道,12.9,7.4,77,0,0,0
2018-05-10,2018,5,Thu,13,Tokyo,東京都,17.0,12.6,74,0,0,0
2018-05-10,2018,5,Thu,23,Aichi,愛知県,17.2,13.3,65,1,1,0
2018-05-10,2018,5,Thu,27,Osaka,大阪府,17.9,13.5,68,1,1,0
2018-05-10,2018,5,Thu,28,Hyogo,兵庫県,17.8,13.3,69,0,0,0
2018-05-10,2018,5,Thu,40,Fukuoka,福岡県,16.9,13.6,75,2,1,0
2018-05-10,2018,5,Thu,47,Okinawa,沖縄県,25.8,23.2,78,0,0,0
2018-05-11,2018,5,Fri,1,Hokkaido,北海道,19.3,11.8,78,1,0,1
2018-05-11,2018,5,Fri,13,Tokyo,東京都,20.5,15.0,68,3,2,0
2018-05-11,2018,5,Fri,23,Aichi,愛知県,22.1,14.4,64,2,1,0
2018-05-11,2018,5,Fri,27,Osaka,大阪府,20.5,14.5,68,9,2,0
2018-05-11,2018,5,Fri,28,Hyogo,兵庫県,19.6,15.3,70,2,1,0
2018-05-11,2018,5,Fri,40,Fukuoka,福岡県,22.4,16.1,63,2,1,0
2018-05-11,2018,5,Fri,47,Okinawa,沖縄県,24.8,23.3,73,1,1,0
2018-05-12,2018,5,Sat,1,Hokkaido,北海道,19.8,13.2,74,4,4,0
2018-05-12,2018,5,Sat,13,Tokyo,東京都,22.7,17.3,75,3,3,0
2018-05-12,2018,5,Sat,23,Aichi,愛知県,23.4,16.8,72,3,1,0
2018-05-12,2018,5,Sat,27,Osaka,大阪府,21.0,16.3,76,2,1,0
2018-05-12,2018,5,Sat,28,Hyogo,兵庫県,20.2,17.2,79,5,1,0
2018-05-12,2018,5,Sat,40,Fukuoka,福岡県,24.8,19.2,62,7,5,0
2018-05-12,2018,5,Sat,47,Okinawa,沖縄県,27.0,24.3,85,5,2,0
2018-05-13,2018,5,Sun,1,Hokkaido,北海道,13.8,11.9,82,0,0,0
2018-05-13,2018,5,Sun,13,Tokyo,東京都,22.6,17.9,82,1,0,0
2018-05-13,2018,5,Sun,23,Aichi,愛知県,19.5,17.5,90,0,0,0
2018-05-13,2018,5,Sun,27,Osaka,大阪府,19.0,17.0,88,1,1,0
2018-05-13,2018,5,Sun,28,Hyogo,兵庫県,18.6,17.4,92,0,0,0
2018-05-13,2018,5,Sun,40,Fukuoka,福岡県,21.5,18.6,88,0,0,0
2018-05-13,2018,5,Sun,47,Okinawa,沖縄県,26.3,24.2,89,4,1,0
2018-05-14,2018,5,Mon,1,Hokkaido,北海道,13.4,11.2,88,3,2,0
2018-05-14,2018,5,Mon,13,Tokyo,東京都,26.1,19.4,70,4,2,0
2018-05-14,2018,5,Mon,23,Aichi,愛知県,23.6,18.9,76,2,1,0
2018-05-14,2018,5,Mon,27,Osaka,大阪府,24.1,19.5,77,4,3,0
2018-05-14,2018,5,Mon,28,Hyogo,兵庫県,23.8,19.3,76,2,0,0
2018-05-14,2018,5,Mon,40,Fukuoka,福岡県,23.4,18.8,77,3,2,0
2018-05-14,2018,5,Mon,47,Okinawa,沖縄県,28.0,24.9,88,6,3,0
2018-05-15,2018,5,Tue,1,Hokkaido,北海道,23.2,14.7,78,8,1,1
2018-05-15,2018,5,Tue,13,Tokyo,東京都,26.7,20.2,68,11,4,0
2018-05-15,2018,5,Tue,23,Aichi,愛知県,25.6,19.6,74,12,4,1
2018-05-15,2018,5,Tue,27,Osaka,大阪府,26.0,18.9,71,9,5,0
2018-05-15,2018,5,Tue,28,Hyogo,兵庫県,23.9,19.5,70,11,9,0
2018-05-15,2018,5,Tue,40,Fukuoka,福岡県,26.5,21.2,72,10,6,1
2018-05-15,2018,5,Tue,47,Okinawa,沖縄県,28.1,25.4,86,10,5,1
2018-05-16,2018,5,Wed,1,Hokkaido,北海道,23.7,16.2,76,1,0,0
2018-05-16,2018,5,Wed,13,Tokyo,東京都,25.9,20.8,73,10,5,0
2018-05-16,2018,5,Wed,23,Aichi,愛知県,25.0,20.2,81,9,5,0
2018-05-16,2018,5,Wed,27,Osaka,大阪府,24.7,19.9,78,12,5,0
2018-05-16,2018,5,Wed,28,Hyogo,兵庫県,23.2,20.1,78,5,3,0
2018-05-16,2018,5,Wed,40,Fukuoka,福岡県,27.5,22.9,70,11,3,0
2018-05-16,2018,5,Wed,47,Okinawa,沖縄県,28.2,25.9,86,7,0,0
2018-05-17,2018,5,Thu,1,Hokkaido,北海道,14.2,11.9,81,3,1,0
2018-05-17,2018,5,Thu,13,Tokyo,東京都,26.9,22.5,78,15,7,1
2018-05-17,2018,5,Thu,23,Aichi,愛知県,28.7,23.0,79,14,6,0
2018-05-17,2018,5,Thu,27,Osaka,大阪府,24.0,21.0,85,17,9,1
2018-05-17,2018,5,Thu,28,Hyogo,兵庫県,23.5,20.6,92,8,4,0
2018-05-17,2018,5,Thu,40,Fukuoka,福岡県,28.0,24.2,83,22,5,0
2018-05-17,2018,5,Thu,47,Okinawa,沖縄県,28.0,26.0,85,2,1,0
2018-05-18,2018,5,Fri,1,Hokkaido,北海道,10.9,8.9,80,0,0,0
2018-05-18,2018,5,Fri,13,Tokyo,東京都,26.8,22.6,84,8,3,0
2018-05-18,2018,5,Fri,23,Aichi,愛知県,29.7,24.3,80,15,6,0
2018-05-18,2018,5,Fri,27,Osaka,大阪府,26.8,22.0,87,12,3,0
2018-05-18,2018,5,Fri,28,Hyogo,兵庫県,23.1,21.1,94,7,3,0
2018-05-18,2018,5,Fri,40,Fukuoka,福岡県,26.1,22.6,89,5,4,0
2018-05-18,2018,5,Fri,47,Okinawa,沖縄県,27.9,25.8,82,6,3,0
2018-05-19,2018,5,Sat,1,Hokkaido,北海道,10.8,8.9,83,1,1,0
2018-05-19,2018,5,Sat,13,Tokyo,東京都,24.6,20.1,65,3,1,0
2018-05-19,2018,5,Sat,23,Aichi,愛知県,21.2,16.7,71,2,1,0
2018-05-19,2018,5,Sat,27,Osaka,大阪府,22.2,16.7,71,0,0,0
2018-05-19,2018,5,Sat,28,Hyogo,兵庫県,20.1,15.8,76,0,0,0
2018-05-19,2018,5,Sat,40,Fukuoka,福岡県,18.2,16.0,78,0,0,0
2018-05-19,2018,5,Sat,47,Okinawa,沖縄県,28.0,26.0,85,9,2,0
2018-05-20,2018,5,Sun,1,Hokkaido,北海道,16.4,11.9,62,2,2,0
2018-05-20,2018,5,Sun,13,Tokyo,東京都,19.5,15.4,58,3,0,0
2018-05-20,2018,5,Sun,23,Aichi,愛知県,20.4,15.4,69,3,1,0
2018-05-20,2018,5,Sun,27,Osaka,大阪府,22.1,16.9,64,2,2,0
2018-05-20,2018,5,Sun,28,Hyogo,兵庫県,21.0,16.3,67,3,0,0
2018-05-20,2018,5,Sun,40,Fukuoka,福岡県,20.9,16.1,64,1,0,0
2018-05-20,2018,5,Sun,47,Okinawa,沖縄県,28.1,25.9,85,5,2,0
2018-05-21,2018,5,Mon,1,Hokkaido,北海道,18.9,13.3,72,1,0,0
2018-05-21,2018,5,Mon,13,Tokyo,東京都,25.0,18.7,61,4,2,0
2018-05-21,2018,5,Mon,23,Aichi,愛知県,23.6,18.1,69,0,0,0
2018-05-21,2018,5,Mon,27,Osaka,大阪府,26.0,19.2,65,1,0,0
2018-05-21,2018,5,Mon,28,Hyogo,兵庫県,24.7,18.9,68,5,4,0
2018-05-21,2018,5,Mon,40,Fukuoka,福岡県,24.6,19.4,68,3,0,0
2018-05-21,2018,5,Mon,47,Okinawa,沖縄県,27.3,25.7,86,1,0,0
2018-05-22,2018,5,Tue,1,Hokkaido,北海道,23.4,15.4,71,4,3,0
2018-05-22,2018,5,Tue,13,Tokyo,東京都,25.7,19.5,66,3,2,0
2018-05-22,2018,5,Tue,23,Aichi,愛知県,23.6,18.0,70,3,0,0
2018-05-22,2018,5,Tue,27,Osaka,大阪府,26.0,18.9,64,3,2,0
2018-05-22,2018,5,Tue,28,Hyogo,兵庫県,24.9,19.1,68,4,3,0
2018-05-22,2018,5,Tue,40,Fukuoka,福岡県,25.6,20.7,70,5,3,0
2018-05-22,2018,5,Tue,47,Okinawa,沖縄県,27.9,25.5,84,3,0,0
2018-05-23,2018,5,Wed,1,Hokkaido,北海道,19.5,14.1,69,3,2,0
2018-05-23,2018,5,Wed,13,Tokyo,東京都,21.5,18.8,79,2,2,1
2018-05-23,2018,5,Wed,23,Aichi,愛知県,19.1,17.6,80,0,0,0
2018-05-23,2018,5,Wed,27,Osaka,大阪府,20.5,18.6,82,0,0,0
2018-05-23,2018,5,Wed,28,Hyogo,兵庫県,19.1,18.1,87,0,0,0
2018-05-23,2018,5,Wed,40,Fukuoka,福岡県,21.7,19.3,88,0,0,0
2018-05-23,2018,5,Wed,47,Okinawa,沖縄県,28.0,25.0,83,2,0,0
2018-05-24,2018,5,Thu,1,Hokkaido,北海道,16.9,13.2,69,2,0,0
2018-05-24,2018,5,Thu,13,Tokyo,東京都,24.5,20.2,81,1,0,0
2018-05-24,2018,5,Thu,23,Aichi,愛知県,24.9,19.6,67,1,0,0
2018-05-24,2018,5,Thu,27,Osaka,大阪府,22.1,19.7,73,1,0,0
2018-05-24,2018,5,Thu,28,Hyogo,兵庫県,22.8,19.5,74,5,2,0
2018-05-24,2018,5,Thu,40,Fukuoka,福岡県,22.0,18.6,72,4,2,0
2018-05-24,2018,5,Thu,47,Okinawa,沖縄県,26.2,24.2,68,2,0,0
2018-05-25,2018,5,Fri,1,Hokkaido,北海道,15.4,11.6,80,0,0,0
2018-05-25,2018,5,Fri,13,Tokyo,東京都,26.0,21.7,75,8,4,1
2018-05-25,2018,5,Fri,23,Aichi,愛知県,26.8,19.9,64,15,7,0
2018-05-25,2018,5,Fri,27,Osaka,大阪府,26.0,20.6,62,7,4,0
2018-05-25,2018,5,Fri,28,Hyogo,兵庫県,25.0,20.8,62,8,7,0
2018-05-25,2018,5,Fri,40,Fukuoka,福岡県,26.5,21.1,56,6,2,0
2018-05-25,2018,5,Fri,47,Okinawa,沖縄県,27.0,24.4,71,4,0,0
2018-05-26,2018,5,Sat,1,Hokkaido,北海道,14.3,10.7,77,1,0,0
2018-05-26,2018,5,Sat,13,Tokyo,東京都,25.0,20.6,74,4,2,0
2018-05-26,2018,5,Sat,23,Aichi,愛知県,27.2,20.8,69,9,2,0
2018-05-26,2018,5,Sat,27,Osaka,大阪府,24.6,20.3,72,3,1,0
2018-05-26,2018,5,Sat,28,Hyogo,兵庫県,23.7,20.6,76,8,3,0
2018-05-26,2018,5,Sat,40,Fukuoka,福岡県,24.0,19.8,80,0,0,0
2018-05-26,2018,5,Sat,47,Okinawa,沖縄県,28.1,26.3,85,5,3,0
2018-05-27,2018,5,Sun,1,Hokkaido,北海道,14.0,10.4,80,1,1,0
2018-05-27,2018,5,Sun,13,Tokyo,東京都,26.0,20.3,77,15,5,1
2018-05-27,2018,5,Sun,23,Aichi,愛知県,28.5,21.7,69,13,10,0
2018-05-27,2018,5,Sun,27,Osaka,大阪府,24.4,20.0,81,17,7,0
2018-05-27,2018,5,Sun,28,Hyogo,兵庫県,24.1,20.1,85,8,2,0
2018-05-27,2018,5,Sun,40,Fukuoka,福岡県,26.8,21.1,70,9,7,0
2018-05-27,2018,5,Sun,47,Okinawa,沖縄県,28.9,26.7,89,4,1,0
2018-05-28,2018,5,Mon,1,Hokkaido,北海道,17.1,12.1,81,3,2,1
2018-05-28,2018,5,Mon,13,Tokyo,東京都,25.6,21.2,77,3,1,1
2018-05-28,2018,5,Mon,23,Aichi,愛知県,24.1,21.2,79,2,2,0
2018-05-28,2018,5,Mon,27,Osaka,大阪府,24.8,21.1,79,2,0,0
2018-05-28,2018,5,Mon,28,Hyogo,兵庫県,22.0,20.4,89,4,2,0
2018-05-28,2018,5,Mon,40,Fukuoka,福岡県,22.0,20.7,86,0,0,0
2018-05-28,2018,5,Mon,47,Okinawa,沖縄県,28.6,26.6,91,5,4,0
2018-05-29,2018,5,Tue,1,Hokkaido,北海道,21.5,13.6,78,3,2,0
2018-05-29,2018,5,Tue,13,Tokyo,東京都,27.2,22.2,74,8,4,0
2018-05-29,2018,5,Tue,23,Aichi,愛知県,25.0,21.3,78,1,0,0
2018-05-29,2018,5,Tue,27,Osaka,大阪府,27.2,22.0,78,1,1,0
2018-05-29,2018,5,Tue,28,Hyogo,兵庫県,24.6,21.4,82,1,0,0
2018-05-29,2018,5,Tue,40,Fukuoka,福岡県,24.2,21.2,82,4,1,0
2018-05-29,2018,5,Tue,47,Okinawa,沖縄県,29.0,26.9,89,8,2,0
2018-05-30,2018,5,Wed,1,Hokkaido,北海道,23.1,16.6,78,5,4,0
2018-05-30,2018,5,Wed,13,Tokyo,東京都,24.1,20.9,82,3,2,1
2018-05-30,2018,5,Wed,23,Aichi,愛知県,21.0,19.2,83,0,0,0
2018-05-30,2018,5,Wed,27,Osaka,大阪府,21.4,19.9,85,3,1,0
2018-05-30,2018,5,Wed,28,Hyogo,兵庫県,20.1,19.3,91,2,2,0
2018-05-30,2018,5,Wed,40,Fukuoka,福岡県,25.9,22.0,85,5,2,0
2018-05-30,2018,5,Wed,47,Okinawa,沖縄県,29.1,27.0,87,13,7,0
2018-05-31,2018,5,Thu,1,Hokkaido,北海道,20.3,15.9,87,0,0,0
2018-05-31,2018,5,Thu,13,Tokyo,東京都,21.9,19.2,81,0,0,0
2018-05-31,2018,5,Thu,23,Aichi,愛知県,19.8,17.4,89,0,0,0
2018-05-31,2018,5,Thu,27,Osaka,大阪府,21.1,18.9,91,3,1,1
2018-05-31,2018,5,Thu,28,Hyogo,兵庫県,19.8,18.4,96,0,0,0
2018-05-31,2018,5,Thu,40,Fukuoka,福岡県,22.9,19.8,86,2,1,0
2018-05-31,2018,5,Thu,47,Okinawa,沖縄県,29.2,27.2,89,5,2,0
2018-06-01,2018,6,Fri,1,Hokkaido,北海道,17.8,14.5,83,1,1,0
2018-06-01,2018,6,Fri,13,Tokyo,東京都,25.6,20.8,64,2,1,0
2018-06-01,2018,6,Fri,23,Aichi,愛知県,25.4,19.2,72,8,4,0
2018-06-01,2018,6,Fri,27,Osaka,大阪府,24.6,19.5,69,6,2,0
2018-06-01,2018,6,Fri,28,Hyogo,兵庫県,23.6,19.1,73,2,2,0
2018-06-01,2018,6,Fri,40,Fukuoka,福岡県,22.4,18.9,82,8,3,0
2018-06-01,2018,6,Fri,47,Okinawa,沖縄県,25.9,24.6,88,1,0,0
2018-06-02,2018,6,Sat,1,Hokkaido,北海道,20.1,15.2,80,2,0,0
2018-06-02,2018,6,Sat,13,Tokyo,東京都,25.6,20.6,75,9,2,0
2018-06-02,2018,6,Sat,23,Aichi,愛知県,25.6,19.9,73,7,4,0
2018-06-02,2018,6,Sat,27,Osaka,大阪府,25.1,19.2,72,5,5,0
2018-06-02,2018,6,Sat,28,Hyogo,兵庫県,24.7,19.7,73,12,6,1
2018-06-02,2018,6,Sat,40,Fukuoka,福岡県,25.9,21.0,66,16,7,1
2018-06-02,2018,6,Sat,47,Okinawa,沖縄県,26.8,24.4,78,1,0,0
2018-06-03,2018,6,Sun,1,Hokkaido,北海道,22.7,16.5,77,5,2,0
2018-06-03,2018,6,Sun,13,Tokyo,東京都,27.2,21.4,72,8,4,0
2018-06-03,2018,6,Sun,23,Aichi,愛知県,25.4,21.0,74,14,9,0
2018-06-03,2018,6,Sun,27,Osaka,大阪府,25.6,20.5,76,17,8,0
2018-06-03,2018,6,Sun,28,Hyogo,兵庫県,24.6,20.4,81,10,7,0
2018-06-03,2018,6,Sun,40,Fukuoka,福岡県,26.0,21.1,75,9,5,0
2018-06-03,2018,6,Sun,47,Okinawa,沖縄県,26.0,25.2,82,0,0,0
2018-06-04,2018,6,Mon,1,Hokkaido,北海道,25.0,18.1,75,27,18,1
2018-06-04,2018,6,Mon,13,Tokyo,東京都,27.6,22.0,69,8,2,1
2018-06-04,2018,6,Mon,23,Aichi,愛知県,26.2,22.0,69,15,11,0
2018-06-04,2018,6,Mon,27,Osaka,大阪府,26.5,21.1,76,11,3,0
